year,designer,cluster,file_name
2002,Preen,130,2002~Preen~5d2081a753ef430c7bccb2ccf509b4fb96634ee7022fb028b885576102c4f9ff.jpg
2008,Xterity,130,2008~Xterity~459ace5d84232db0af4a3e2750aff402563fbd0903f59927141715b36726435d.jpg
2006,Haider Ackermann,277,2006~Haider Ackermann~28eb5cd8aa2f2e6efbc43049987800111f634582670c24cd41f6338286da7d18.jpg
2012,Jil Sander ,277,2012~Jil Sander ~663a9042c4101867d2fc17aabefefc747bab3b63436eaf46d4fc263c07f946b9.jpg
2005,Ralph Lauren,277,2005~Ralph Lauren~3525486b100716c0d564076f934a5a4b7c233acfbeccdb894d95ba7ee2e0eb52.jpg
2011,Valentino,277,2011~Valentino~66f591f528267680bdb8d0fd6d7a263f726b3f3b0eca60b16ed6f3b212ea9e4d.jpg
2012,Jil Sander ,277,2012~Jil Sander ~2d1923db7c4b31b94a5ba90ef5b0cef855080fcf31ffa49ba6b21fdae814b358.jpg
2012,Jonathan Saunders ,277,2012~Jonathan Saunders ~f09ab99400af28ccbc8dbe443baf6ee71bcb1b7bbcda7583ac331ba257801aec.jpg
2003,Marc Jacobs,277,2003~Marc Jacobs~ca288bf340e6e4c8939cb4323c15b7688ff4732be555fa1df1646b9f7df008a7.jpg
2005,Bruno Pieters,277,2005~Bruno Pieters~217680d6e197208a2e53c29987602888783895fd20548624468b4ef07b9264d3.jpg
2008,Peter Jensen,277,2008~Peter Jensen~c91198744489b404a4d30a950eceaf93d4448eeb690cad582c8d9dc5ab6c74f6.jpg
2005,Ralph Lauren,277,2005~Ralph Lauren~cad3d8af914db05b96b13b70c6ae775b3a0d6bce0517442b0dd708f6ccb66558.jpg
2013,Band of Outsiders,277,2013~Band of Outsiders~08ced34028bd49edf964f6c4b8e52ed356d867a967e44f609856d6357d2ad3d6.jpg
2009,Burberry Prorsum,277,2009~Burberry Prorsum~2c02a0566a131c77272f1f7d799d873f15ad2d7e6b90de7dfe7e392fad0edc24.jpg
2005,Dany Atrache,277,2005~Dany Atrache~db2dc79d6a161774dc17c11af70be50f2e4d1b147a3770528ad6c224c2552382.jpg
2011,Prada,289,2011~Prada~6ce5381e8c3856aadba78acc09c893efd2032559005ef79a38d8b09910d02b30.jpg
2009,Louise Goldin,289,2009~Louise Goldin~188dc792da4c5273bbb049e05f455454e2097797c03095adec8702a9b5c96211.jpg
